Time(us),LoadCell1,LoadCell2,LoadCell3,LoadCell4,LoadCell5,LoadCell6,LoadCell7
291,-0.8,0.0,0.1,-0.2,769.2,0.1,-0.1
23209,344.4,0.0,-1.0,-0.9,-4384.6,0.2,-0.4
83207,347.2,0.0,1.1,-0.3,-3846.2,-0.5,-0.2
174207,343.2,0.0,-0.6,0.3,1153.8,0.4,-0.5
265207,359.5,0.0,-1.4,0.0,2038.5,0.6,-0.4
356207,349.3,0.0,-0.4,-0.4,-2307.7,1.0,-0.0
447207,339.0,0.0,-0.3,-0.0,2115.4,1.0,-0.3
537207,352.5,0.0,0.2,0.2,-2884.6,-0.2,-0.6
628207,346.8,0.0,-1.1,1.2,-2846.2,-0.4,-0.2
719207,337.2,0.0,0.9,-0.6,-2346.2,-0.1,-0.1
810207,378.0,0.0,-1.3,0.1,-1461.5,0.5,-0.0
901207,335.9,0.0,-1.0,1.0,307.7,0.5,-0.3
991207,358.5,0.0,-0.0,0.8,-38.5,0.5,-0.4
1082207,342.7,0.0,0.2,-0.2,730.8,0.1,-0.4
1173207,345.9,0.0,0.7,1.2,-2307.7,-0.4,-0.5
1264207,342.5,0.0,0.5,-0.7,1153.8,0.6,-0.2
1355207,351.0,0.0,-0.7,0.1,-1653.8,0.2,-0.4
1445208,352.5,0.0,0.9,0.0,-8076.9,0.4,-0.3
1536207,341.5,0.0,-0.8,0.5,-1423.1,0.0,-0.3
1627207,354.0,0.0,0.6,-1.2,-76.9,0.2,-0.2
1718207,344.3,0.0,0.2,0.0,-3884.6,0.9,-0.2
1809207,350.1,0.0,-0.5,1.0,961.5,1.1,-0.6
1900207,347.3,0.0,-0.7,-0.9,1000.0,0.4,-0.1
1990207,347.9,0.0,1.0,-0.2,3846.2,-0.1,0.2
2081207,345.8,0.0,-0.6,1.2,2615.4,-0.2,-0.2
2172207,349.3,0.0,-0.0,0.0,-4192.3,0.0,-0.2
2264207,345.0,0.0,0.0,1.2,-4153.8,0.3,0.2
2357213,347.8,0.0,-0.9,0.3,3230.8,-0.3,0.5
2449207,349.2,0.0,0.7,0.0,4576.9,-0.1,0.2
2541221,344.4,0.0,-0.2,-0.2,-2192.3,0.2,-0.1
2634207,349.9,0.0,0.6,0.7,2269.2,-0.1,-0.2
2726207,348.4,0.0,-1.1,0.6,-6500.0,-0.2,-0.0
2819207,348.6,0.0,0.2,-0.8,-3153.8,0.7,-0.1
2911207,348.1,0.0,1.3,0.5,-692.3,0.8,-0.2
3004262,346.7,0.0,1.3,0.1,2884.6,1.0,-0.5
3096207,347.4,0.0,0.6,-1.1,-2538.5,0.2,-0.4
3188207,344.0,0.0,-1.0,0.3,-1423.1,-0.2,-0.5
3281207,345.9,0.0,0.6,-0.5,-1846.2,0.4,-0.8
3373207,350.2,0.0,0.2,-0.0,-5730.8,0.7,-0.5
3466207,346.8,0.0,1.6,0.3,1961.5,0.0,-0.3
3558207,350.5,0.0,0.2,0.4,115.4,-0.0,-0.2
3651207,345.0,0.0,-0.2,-0.1,-2500.0,0.4,0.1
3743207,351.0,0.0,-0.4,0.4,-1538.5,1.1,0.2
3835207,347.6,0.0,1.0,0.9,0.0,0.7,0.5
3928207,347.7,0.0,-0.1,0.9,-2192.3,0.2,0.2
4020207,348.8,0.0,-0.1,0.0,3076.9,0.8,0.0
4113207,348.5,0.0,0.3,-0.5,-1192.3,1.1,-0.3
4205207,348.3,0.0,0.6,0.4,115.4,0.7,-0.3
4298218,346.7,0.0,-0.0,0.3,-5692.3,0.4,-0.3
4390207,340.4,0.0,0.5,-0.7,1423.1,0.8,-0.0
4482207,355.7,0.0,-0.9,-0.2,-5384.6,0.9,-0.1
4575207,340.1,0.0,0.0,-0.3,1423.1,0.7,-0.4
